Well,Strain,Pixel_33_37_Values,Pixel_33_37_Avg,Min_Value,Difference_33_37_Avg_Min,Fraction_33_37_Avg_Min
Well 4-6,cc-2670,"[np.float64(44.45454545454545), np.float64(43.90909090909091), np.float64(44.54545454545455), np.float64(43.54545454545455), np.float64(45.18181818181818)]",44.32727272727273,21.09090909090909,23.236363636363638,2.1017241379310345
Well 4-7,cc-2670,"[np.float64(45.63636363636363), np.float64(47.0), np.float64(47.90909090909091), np.float64(41.36363636363637), np.float64(44.18181818181818)]",45.21818181818182,17.272727272727273,27.945454545454545,2.6178947368421053
Well 4-8,cc-2670,"[np.float64(44.54545454545455), np.float64(46.09090909090909), np.float64(45.27272727272727), np.float64(33.90909090909091), np.float64(35.09090909090909)]",40.981818181818184,17.0,23.981818181818184,2.4106951871657754
Well 4-9,cc-2670,"[np.float64(41.18181818181818), np.float64(42.27272727272727), np.float64(42.81818181818182), np.float64(44.09090909090909), np.float64(45.36363636363637)]",43.14545454545455,15.363636363636363,27.781818181818185,2.8082840236686395
Well 4-10,cc-2670,"[np.float64(39.54545454545455), np.float64(39.90909090909091), np.float64(41.90909090909091), np.float64(43.63636363636363), np.float64(44.90909090909091)]",41.981818181818184,13.181818181818182,28.800000000000004,3.1848275862068967
Well 4-11,cc-2670,"[np.float64(37.63636363636363), np.float64(40.54545454545455), np.float64(43.0), np.float64(44.09090909090909), np.float64(29.636363636363637)]",38.981818181818184,12.909090909090908,26.072727272727278,3.0197183098591553
Well 5-1,cc-3707,"[np.float64(28.636363636363637), np.float64(29.09090909090909), np.float64(30.636363636363637), np.float64(30.09090909090909), np.float64(29.09090909090909)]",29.509090909090908,6.090909090909091,23.418181818181818,4.844776119402985
Well 5-2,cc-3707,"[np.float64(30.181818181818183), np.float64(30.09090909090909), np.float64(36.36363636363637), np.float64(36.54545454545455), np.float64(37.81818181818182)]",34.2,5.2727272727272725,28.92727272727273,6.4862068965517246
Well 5-3,cc-3707,"[np.float64(39.27272727272727), np.float64(38.81818181818182), np.float64(37.36363636363637), np.float64(35.90909090909091), np.float64(35.45454545454545)]",37.36363636363636,7.545454545454546,29.818181818181813,4.951807228915662
Well 5-4,cc-3707,"[np.float64(37.18181818181818), np.float64(38.18181818181818), np.float64(36.54545454545455), np.float64(35.0), np.float64(39.90909090909091)]",37.36363636363636,8.272727272727273,29.090909090909086,4.5164835164835155
Well 5-5,cc-3707,"[np.float64(34.09090909090909), np.float64(36.81818181818182), np.float64(39.36363636363637), np.float64(40.36363636363637), np.float64(41.45454545454545)]",38.41818181818182,6.454545454545454,31.96363636363637,5.9521126760563385
Well 5-6,cc-3707,"[np.float64(41.0), np.float64(41.63636363636363), np.float64(41.18181818181818), np.float64(41.45454545454545), np.float64(38.63636363636363)]",40.781818181818174,6.2727272727272725,34.5090909090909,6.501449275362318
Well 5-7,cc-3707,"[np.float64(41.90909090909091), np.float64(42.54545454545455), np.float64(43.18181818181818), np.float64(38.45454545454545), np.float64(41.27272727272727)]",41.47272727272727,7.909090909090909,33.56363636363636,5.24367816091954
Well 5-8,cc-3707,"[np.float64(42.18181818181818), np.float64(42.63636363636363), np.float64(43.27272727272727), np.float64(44.09090909090909), np.float64(36.72727272727273)]",41.78181818181818,7.181818181818182,34.6,5.817721518987342
Well 5-9,cc-3707,"[np.float64(42.72727272727273), np.float64(43.09090909090909), np.float64(44.36363636363637), np.float64(33.18181818181818), np.float64(35.36363636363637)]",39.74545454545455,8.363636363636363,31.381818181818186,4.752173913043479
Well 5-10,cc-3707,"[np.float64(38.54545454545455), np.float64(39.72727272727273), np.float64(39.90909090909091), np.float64(40.18181818181818), np.float64(41.27272727272727)]",39.92727272727273,7.181818181818182,32.74545454545455,5.559493670886076
Well 5-11,cc-3707,"[np.float64(39.90909090909091), np.float64(40.72727272727273), np.float64(31.272727272727273), np.float64(32.0), np.float64(31.545454545454547)]",35.090909090909086,7.636363636363637,27.45454545454545,4.595238095238094
Well 6-1,cc-3707,"[np.float64(31.363636363636363), np.float64(31.636363636363637), np.float64(32.09090909090909), np.float64(31.181818181818183), np.float64(38.45454545454545)]",32.94545454545455,6.2727272727272725,26.67272727272728,5.25217391304348
Well 6-2,cc-3707,"[np.float64(31.454545454545453), np.float64(31.272727272727273), np.float64(31.818181818181817), np.float64(33.09090909090909), np.float64(38.63636363636363)]",33.25454545454546,5.636363636363637,27.61818181818182,5.9
Well 6-3,cc-3707,"[np.float64(41.18181818181818), np.float64(40.27272727272727), np.float64(38.0), np.float64(37.54545454545455), np.float64(36.36363636363637)]",38.67272727272727,6.2727272727272725,32.4,6.165217391304348
Well 6-4,cc-3707,"[np.float64(36.90909090909091), np.float64(36.0), np.float64(35.90909090909091), np.float64(34.81818181818182), np.float64(38.45454545454545)]",36.418181818181814,5.090909090909091,31.327272727272724,7.153571428571428
Well 6-5,cc-3707,"[np.float64(35.09090909090909), np.float64(38.63636363636363), np.float64(40.45454545454545), np.float64(39.81818181818182), np.float64(37.27272727272727)]",38.25454545454546,5.2727272727272725,32.981818181818184,7.255172413793105
Well 6-6,cc-3707,"[np.float64(30.181818181818183), np.float64(34.18181818181818), np.float64(38.54545454545455), np.float64(38.72727272727273), np.float64(39.36363636363637)]",36.2,5.7272727272727275,30.472727272727276,6.320634920634921
Well 6-7,cc-3707,"[np.float64(38.72727272727273), np.float64(42.09090909090909), np.float64(43.09090909090909), np.float64(44.54545454545455), np.float64(44.45454545454545)]",42.58181818181818,5.363636363636363,37.21818181818182,7.938983050847457
Well 6-8,cc-3707,"[np.float64(37.18181818181818), np.float64(41.36363636363637), np.float64(42.54545454545455), np.float64(44.18181818181818), np.float64(42.72727272727273)]",41.6,6.181818181818182,35.41818181818182,6.729411764705882
Well 6-9,cc-3707,"[np.float64(41.72727272727273), np.float64(43.09090909090909), np.float64(43.72727272727273), np.float64(43.54545454545455), np.float64(35.90909090909091)]",41.599999999999994,6.181818181818182,35.418181818181814,6.7294117647058815
Well 6-10,cc-3707,"[np.float64(38.0), np.float64(39.81818181818182), np.float64(41.09090909090909), np.float64(43.0), np.float64(34.90909090909091)]",39.36363636363636,5.181818181818182,34.18181818181818,7.596491228070175
Well 6-11,cc-3707,"[np.float64(32.90909090909091), np.float64(37.0), np.float64(39.09090909090909), np.float64(41.18181818181818), np.float64(43.63636363636363)]",38.763636363636365,4.7272727272727275,34.03636363636364,8.2
